C,S
196,0
475,0
4,0
700,0
6,1
12,0
5,0
136,0
6,1
2,0
106,0
6,1
319,0
122,0
48,0
11,1
147,0
3,1
13,0
252,0
78,0
12,0
46,0
6,0
123,0
17,1
4,0
7,1
150,0
6,1
41,0
62,0
38,0
139,0
20,0
1786,0
2,1
2,0
2,1
19,0
743,0
32,0
397,0
3,1
441,0
167,0
482,0
6,1
95,0
323,0
196,0
61,0
652,0
17,0
6,0
19,0
6,1
14,0
12,1
125,1
129,0
5,0
6,1
2,1
2,1
10,0
446,0
556,0
6,1
1,1
6,1
1165,0
7,0
2,1
99,0
483,0
283,0
975,0
8,0
27,0
18,1
255,0
265,0
268,0
110,0
3,1
65,0
5,0
9,0
6,1
298,0
68,0
87,0
83,0
5,0
4,0
273,0
6,1
96,0
54,1
79,0
7,0
6,1
78,0
32,0
231,0
1,0
2,1
96,0
267,0
154,0
1,1
2,1
2,1
98,0
123,0
10,0
19,0
157,0
6,1
75,0
6,0
32,1
4,0
2,0
3,1
3,1
36,0
2,0
14,0
139,0
41,0
22,0
53,0
541,0
8,0
242,0
8,1
1464,0
8,0
10,1
85,0
18,0
1095,0
26,0
158,0
176,0
10,1
528,0
14,1
88,0
59,0
196,0
10,0
6,1
14,1
15,0
382,0
29,0
604,0
267,0
2,1
288,0
132,0
6,1
2,1
19,1
23,0
28,0
2389,0
234,0
1,1
4,0
1035,0
37,0
204,0
35,0
300,0
86,1
20,0
257,0
121,0
310,0
2,1
59,1
47,0
33,0
911,0
8,0
211,0
1052,0
2,1
101,0
404,0
29,0
86,0
36,0
130,0
6,1
95,0
98,0
38,0
6,1
29,0
24,0
7,0
259,0
815,0
2,0
2,1
26,0
282,0
361,0
37,0
251,0
7,1
27,0
13,0
466,0
10,1
8,0
292,0
5,1
244,0
8,0
4,0
319,0
56,0
65,0
4,0
36,0
18,0
1015,0
2,1
5,0
94,0
49,0
6,1
2,1
27,0
4,0
56,0
6,1
45,0
325,0
31,0
6,0
6,0
10,0
8,0
260,0
126,0
11,0
283,0
275,0
27,0
506,0
6,0
4,0
7,0
86,0
2,1
312,0
206,0
23,0
5,1
7,0
39,0
562,0
29,1
10,0
216,0
246,0
7,0
226,0
21,0
2,0
215,0
458,0
140,0
27,0
74,0
47,0
6,1
13,1
152,0
182,0
8,0
2,1
75,0
93,0
635,0
4,0
58,0
8,0
2,1
63,0
165,0
56,0
256,0
330,0
2,1
9,0
251,0
35,0
1,1
6,0
22,0
214,0
8,0
4,0
8,0
8,0
12,0
6,1
38,0
8,0
4,0
59,0
226,0
43,0
17,0
4,0
14,0
157,0
30,0
31,0
2,1
51,0
20,0
23,0
4,1
240,0
6,0
5,0
154,1
222,0
60,0
12,0
89,0
25,0
742,0
135,0
125,0
67,0
468,0
318,0
160,0
275,0
2,1
6,1
6,0
6,1
23,0
156,0
125,0
1084,0
24,0
695,0
6,1
203,0
30,0
1,0
22,0
6,1
90,0
94,0
19,0
8,0
48,0
9,0
72,0
33,0
119,0
2,1
884,0
13,0
7,0
606,0
68,1
30,0
15,0
5,0
109,0
72,0
21,0
45,0
6,0
28,0
173,0
1301,0
22,0
4,0
535,0
1,0
190,0
10,0
9,1
229,0
122,1
7,0
15,0
255,0
109,1
130,0
2,0
125,0
156,0
2,1
4,0
6,1
293,0
6,1
2,1
58,1
8,0
9,0
4,1
42,0
37,0
7,1
21,0
2,0
114,0
248,0
51,0
11,0
58,0
4,0
2,0
145,0
180,0
45,0
499,0
17,0
596,0
64,1
1,1
7,0
540,0
2,1
351,0
83,0
85,0
8,0
5,0
12,0
45,0
192,0
25,0
133,0
292,0
62,0
11,0
17,0
592,0
63,0
577,0
309,0
263,0
485,0
49,0
5,0
6,1
151,0
225,0
337,0
5,0
213,0
346,0
69,0
6,0
52,0
2,0
11,0
91,0
34,0
322,0
3,0
91,0
339,0
6,1
16,1
124,0
14,0
5,0
13,0
360,0
7,0
1,0
5,0
37,0
16,0
34,0
40,0
16,0
5,1
3,0
171,0
4,0
8,0
178,0
26,0
144,0
6,0
25,0
17,0
2,1
6,0
78,0
5,0
3,0
163,0
6,1
5,0
58,0
3,0
3,0
5,0
13,0
10,0
302,0
175,0
101,0
7,0
128,0
76,0
1,1
4,0
5,1
4,0
6,0
3,1
8,0
1102,0
392,0
7,0
184,0
21,0
4,0
3,1
2,1
18,0
30,0
19,0
178,0
5,0
5,0
88,0
71,0
2,1
83,1
259,0
946,0
7,0
12,0
241,0
125,0
4,0
148,0
22,0
84,0
5,0
16,1
44,0
1,0
1,1
47,1
2,1
218,0
498,0
15,0
177,0
83,0
19,0
16,0
2,1
18,0
8,1
2,1
111,0
5,0
226,1
9,0
58,0
6,1
94,0
100,0
114,0
2,0
89,0
125,0
58,0
50,0
2,1
40,0
11,0
5,0
180,0
223,0
1,1
8,0
417,0
62,0
80,0
45,0
27,0
299,0
7,0
4,0
131,0
362,0
691,0
18,0
46,0
2,1
2,0
1065,0
9,0
14,0
2,1
6,1
105,0
4,0
339,0
16,1
86,0
4,0
428,0
25,0
5,0
442,0
118,1
4,0
16,1
15,1
2,1
77,0
342,0
4,0
6,1
11,0
45,0
232,0
12,1
134,0
11,0
31,0
2,0
2,0
10,1
14,0
35,0
65,0
119,0
307,0
10,0
14,0
64,0
604,0
5,0
14,0
2,1
9,0
211,1
267,0
47,0
455,0
2,1
153,0
484,0
14,0
19,1
287,0
6,0
14,0
99,0
37,0
217,0
33,0
4,0
1,1
32,0
342,0
22,0
2,1
126,0
6,1
26,0
109,0
8,0
38,0
6,0
45,0
14,1
18,0
30,0
142,0
17,0
3,1
16,0
238,0
43,0
24,0
125,0
160,0
321,0
18,0
2,1
12,0
320,0
5,0
210,0
401,0
142,0
31,0
2,0
12,1
5,0
42,1
5,0
6,0
163,0
47,0
13,0
5,1
6,1
94,0
245,0
26,0
47,0
66,0
43,1
57,0
87,0
16,0
4,0
228,0
18,0
9,0
320,0
117,0
5,0
96,0
40,0
27,0
28,0
4,0
5,1
59,0
130,0
2,1
6,0
183,0
22,0
65,0
41,0
5,0
456,0
6,0
522,0
52,0
14,0
229,0
331,0
1455,0
162,0
5,0
43,1
2,1
10,0
29,0
7,1
14,0
30,0
79,0
303,0
39,0
646,0
13,0
6,0
20,0
16,0
2,0
519,0
533,0
24,0
12,0
32,0
168,0
1,0
223,0
262,0
5,0
835,0
292,0
167,0
122,0
14,0
9,0
88,0
105,0
7,0
5,0
43,0
103,0
4,0
7,1
381,0
434,0
122,0
10,0
4,0
45,0
32,0
2,1
191,0
6,1
4,0
1053,0
6,1
635,0
14,0
58,0
2,1
15,0
10,1
1,0
6,1
10,0
2,1
399,0
6,0
7,0
22,0
6,0
1,0
36,0
54,0
76,1
14,0
43,0
55,0
14,0
829,0
4,0
105,0
2,1
137,0
30,0
143,0
28,0
1,1
26,0
63,0
4,1
890,0
6,0
23,1
125,0
31,0
236,0
4,0
1250,0
3,0
18,0
124,1
60,0
432,0
7,0
110,0
4,0
81,1
88,0
396,0
9,0
6,1
9,0
367,0
39,0
14,0
158,0
8,0
53,1
80,0
194,0
20,0
6,0
67,0
75,0
366,0
33,0
11,0
490,0
359,0
855,0
5,0
447,1
3,0
3,1
107,1
7,0
14,1
6,1
3,0
9,0
5,0
16,0
127,0
323,0
2,1
14,0
582,0
2,1
7,0
6,0
320,0
14,0
57,0
3,0
26,0
344,0
5,0
21,0
534,0
290,0
173,0
6,0
2,1
5,0
2,1
14,0
88,0
29,0
2,1
3,1
10,0
2,1
225,0
201,0
58,0
19,0
318,0
6,1
63,0
11,1
325,0
361,0
275,0
6,1
24,0
801,0
40,0
67,1
12,0
2,0
22,0
2,0
7,0
1,0
15,0
6,0
21,0
10,0
5,0
2,1
152,0
35,0
6,1
4,0
14,0
5,0
4,1
8,0
277,0
57,1
400,0
7,0
6,0
6,1
6,1
13,1
212,0
4,0
5,0
614,0
8,0
50,0
2,1
117,0
245,0
8,0
696,0
91,0
119,0
142,0
2,0
70,0
2,0
93,0
2,1
12,1
9,0
4,1
20,0
3,1
59,0
149,0
6,0
4,0
10,0
255,0
6,1
172,0
6,1
10,0
83,0
347,0
18,0
147,0
2237,0
73,0
38,0
46,0
4,0
31,0
51,0
4,0
8,0
165,0
7,1
6,0
4,0
21,0
96,0
3,1
129,0
35,0
130,0
445,0
4,0
5,1
45,0
6,1
16,0
26,1
24,1
7,0
63,0
20,1
47,0
468,0
5,0
13,0
27,0
3,1
10,0
34,0
2,0
32,0
4,0
26,0
14,0
7,0
371,0
2,1
437,0
8,0
98,0
121,0
148,0
223,0
2,1
100,0
8,1
184,0
42,0
43,0
425,0
19,0
8,1
14,0
32,0
6,1
549,0
72,0
2,1
2,1
4,0
2,0
101,0
2,1
6,1
32,0
23,0
14,0
275,0
4,0
1,0
23,0
14,0
69,0
211,0
20,0
769,0
266,0
180,0
141,1
40,1
3,0
211,0
24,0
111,0
52,0
524,0
514,0
4,1
8,0
10,0
30,0
4,1
5,0
6,0
8,0
38,0
50,0
35,0
18,0
288,0
1412,0
18,0
2,1
432,0
83,0
150,0
68,0
2,1
6,1
38,0
418,0
8,0
26,0
10,0
9,0
6,0
5,0
658,0
142,0
9,0
5,0
1,1
99,0
22,0
2,0
1,0
119,0
13,0
15,1
433,0
370,0
754,0
5,0
23,0
96,0
30,0
8,0
244,0
90,0
599,0
22,0
4,1
1,0
12,0
62,0
9,0
157,0
146,0
20,0
224,0
773,0
5,1
10,0
5,1
6,0
8,0
280,0
3,0
16,0
4,0
20,0
6,1
14,0
928,0
22,0
75,0
235,0
144,0
1,0
39,0
5,0
43,1
330,0
38,0
12,0
445,0
43,0
655,0
102,0
153,0
166,1
99,0
682,0
5,0
420,0
95,0
178,0
6,1
127,0
556,0
2,1
454,0
16,0
96,0
71,0
308,0
222,0
337,1
11,1
6,0
4,0
5,0
7,0
2485,0
10,0
5,0
299,0
8,0
1,0
15,0
26,0
17,0
37,1
10,1
1,0
21,0
179,0
20,0
2,1
128,0
31,0
27,1
13,0
1,1
2,1
21,0
12,0
33,1
156,0
21,0
99,0
89,0
2,1
4,0
970,0
310,0
17,0
58,0
7,1
8,0
7,0
55,0
305,0
76,1
19,0
4,0
20,0
156,0
12,0
2,0
280,0
4,0
259,0
633,0
197,0
4,0
120,0
436,0
15,0
109,0
315,0
10,0
116,0
1,1
5,0
188,0
29,0
7,1
585,0
1038,0
687,0
6,0
4,0
8,0
4,0
18,0
6,1
3,0
2,1
2,1
58,0
52,0
255,0
889,0
12,1
7,0
6,1
18,0
28,0
2,1
6,1
6,1
451,0
289,1
72,1
331,0
175,0
87,0
92,0
7,0
23,0
5,0
153,1
91,0
10,0
4,0
1,1
41,0
1027,0
54,0
96,0
5,1
24,0
458,0
73,0
9,0
9,0
12,0
3,1
220,0
1612,0
500,0
15,0
399,0
5,1
7,1
26,0
93,0
6,1
304,0
475,0
2,1
7,0
21,0
130,1
8,0
16,0
677,0
11,0
54,0
7,0
10,1
158,0
595,0
262,0
365,0
95,0
745,0
6,0
553,0
1,0
32,0
141,0
54,0
106,1
6,1
8,0
32,0
7,0
659,0
317,0
22,0
5,0
954,0
341,0
1172,0
11,1
18,0
145,0
76,0
6,1
378,0
20,0
1005,0
33,0
2,1
1348,0
28,0
163,0
2,1
12,0
83,0
9,0
3,1
8,0
666,0
29,0
2,1
67,0
4,0
152,0
57,0
811,0
26,0
39,0
38,0
160,0
10,1
8,0
62,0
9,0
6,1
15,0
15,0
1,1
665,0
374,0
4,0
119,0
370,0
407,0
369,0
116,0
824,0
31,0
14,1
2,1
22,0
27,0
340,0
131,0
1206,0
62,0
12,1
6,1
164,0
157,0
12,0
70,0
102,0
344,0
645,0
12,0
84,0
12,0
59,0
31,1
21,0
2,0
13,0
6,1
128,0
294,0
14,1
265,0
94,0
30,0
105,0
119,0
202,0
5,0
32,0
56,0
15,0
634,0
379,0
802,0
13,0
357,0
2,1
28,0
2,1
1072,0
19,0
302,0
365,0
337,0
46,0
50,0
18,0
32,0
331,0
10,1
336,0
16,0
158,0
386,0
487,0
9,0
168,0
164,0
20,0
4,0
6,1
11,0
12,0
9,1
102,0
31,0
10,0
41,0
2,1
38,0
243,0
2,1
167,0
200,0
83,1
592,0
104,0
5,0
46,0
20,0
10,0
11,0
37,0
72,0
355,0
489,0
121,0
5,0
2,0
24,0
6,1
22,0
21,0
1,1
47,0
100,0
972,1
7,0
7,0
10,0
4,0
925,0
5,0
6,1
33,0
42,0
6,1
82,0
575,0
423,0
289,1
5,0
6,1
6,0
71,0
6,1
239,0
52,0
4,0
51,1
5,0
38,0
68,0
6,1
6,1
7,0
74,0
393,0
60,0
960,0
239,0
16,0
7,0
16,1
93,1
7,0
5,1
544,0
90,0
2,1
42,0
143,0
22,0
62,0
179,0
2,1
4,0
119,0
112,1
215,0
9,1
3,1
250,0
4,0
33,0
785,0
14,1
1,1
3,1
183,0
61,0
185,0
220,0
706,0
15,0
3,0
698,0
709,0
11,0
308,0
518,0
224,1
7,1
10,0
73,0
25,0
4,1
10,1
341,0
16,0
271,0
31,0
1330,0
33,0
253,0
68,0
2,0
16,0
180,0
131,0
2,1
9,1
8,1
210,0
609,0
33,0
94,1
6,1
105,0
34,0
308,0
63,0
322,0
438,0
29,0
400,0
18,0
3,0
4,0
8,0
98,1
17,0
16,0
2,1
29,0
503,0
2,0
40,0
95,0
612,0
12,1
10,1
66,0
66,0
86,0
22,0
6,1
15,0
4,0
39,0
2,1
92,0
3,1
16,0
8,0
439,0
22,0
8,0
236,0
134,0
74,0
181,0
6,0
72,0
66,0
5,1
669,0
23,0
1,0
13,0
28,0
5,0
103,0
21,0
7,0
12,0
12,1
49,0
10,1
125,0
565,0
217,0
4,0
108,0
16,0
30,0
6,1
255,0
170,0
197,0
658,0
8,0
24,0
8,0
8,0
156,0
1,0
380,1
127,0
49,0
4,1
6,0
117,0
4,0
4,1
171,0
463,0
146,0
6,0
896,0
374,0
48,0
31,0
6,0
103,1
6,0
10,1
20,0
31,0
14,0
8,0
4,1
58,0
287,0
2,1
1,1
360,0
169,0
224,0
107,0
1639,0
7,0
7,1
520,0
88,0
39,0
621,0
127,0
4,0
1,1
11,0
178,0
1,0
2,1
2,1
29,0
585,0
14,0
54,0
7,0
2,0
17,0
59,0
65,0
13,0
86,0
152,0
23,0
12,1
20,0
8,0
161,1
293,0
48,0
12,0
11,0
8,0
187,0
22,0
29,0
311,0
8,0
64,0
6,0
10,0
21,0
284,0
40,0
657,0
5,1
5,1
40,0
621,0
907,0
13,0
4,0
25,0
12,0
216,0
14,0
2,1
10,0
83,0
673,0
22,0
2,0
10,0
260,0
298,0
698,0
58,0
75,0
399,0
30,0
167,0
205,0
167,0
15,0
118,0
366,0
2,1
866,0
90,0
571,0
5,0
10,0
229,0
5,0
13,1
11,0
13,0
109,0
200,0
4,0
18,0
83,0
12,0
12,0
7,0
364,0
109,0
2,1
48,0
2,0
245,0
1,0
17,0
32,0
17,0
11,0
8,0
8,0
23,0
204,0
53,0
27,1
6,0
6,1
10,0
5,0
9,0
19,0
65,0
4,1
47,0
5,0
18,0
44,0
111,0
75,1
88,0
123,0
89,0
268,0
857,0
620,0
143,0
2,1
18,0
5,0
5,0
16,0
116,0
8,0
6,1
28,0
16,0
42,0
372,0
669,0
28,1
6,0
6,0
6,1
268,0
25,0
177,0
14,0
38,0
39,0
16,0
95,0
403,0
24,0
567,0
72,0
87,0
4,0
1,1
9,0
576,0
1121,0
2,1
20,1
241,0
15,0
5,0
138,0
151,0
4,0
88,0
17,0
7,0
2,1
7,1
56,0
20,0
16,0
24,0
1,1
6,1
1,0
2,1
12,0
281,0
4,0
7,0
405,0
4,0
86,0
36,0
235,0
43,0
136,0
9,0
226,0
21,0
7,1
96,0
9,0
6,0
488,0
3,1
97,0
1,0
4,0
9,0
894,0
5,0
2,1
203,0
33,0
354,0
64,0
65,0
32,0
4,0
4,0
37,0
9,1
10,0
2,1
162,0
2,1
619,0
1,1
223,0
652,0
2,1
14,0
4,0
38,0
77,0
70,0
110,0
3,1
13,0
4,0
4,1
219,0
11,0
161,0
14,0
6,1
6,1
2,0
2,1
6,1
752,0
201,0
1,0
32,0
8,1
492,0
5,1
63,0
1028,0
71,0
82,0
7,0
4,0
11,0
27,1
84,0
5,0
522,0
7,1
99,0
4,0
2,0
381,0
67,1
238,0
204,0
12,0
139,0
701,0
447,0
783,0
84,0
233,0
6,0
8,0
10,0
297,0
25,0
32,0
4,0
19,0
5,0
82,0
6,1
46,0
8,0
180,0
190,0
8,0
2,0
59,0
18,0
20,1
21,0
6,1
26,0
8,0
58,0
115,0
7,1
3,0
7,1
6,1
44,0
6,0
327,0
1,0
2,1
269,0
4,0
138,0
51,0
5,0
310,0
81,0
1,0
4,0
10,0
4,0
33,0
5,0
246,0
55,0
1,0
88,0
60,1
13,0
447,0
244,0
12,0
43,0
566,0
5,0
30,0
5,0
233,0
8,1
344,0
17,0
14,0
48,0
2,0
112,0
5,0
381,0
45,0
13,0
3,0
6,1
381,0
3,0
89,0
189,0
57,0
110,0
481,0
4,1
256,0
2,1
50,0
638,0
78,0
160,0
207,0
555,0
67,0
19,0
258,0
107,0
20,0
12,0
2,1
11,0
127,0
16,0
19,1
291,0
496,0
4,0
6,0
51,0
152,0
253,1
283,0
46,0
18,0
34,0
3,0
425,0
12,0
480,0
34,0
59,0
419,0
179,0
8,0
326,0
84,0
54,0
4,1
753,0
26,1
17,0
2,1
207,0
46,0
478,0
6,0
2,1
14,0
113,0
125,0
486,0
4,0
1,0
10,0
605,0
5,1
16,0
209,0
83,0
4,0
4,0
272,0
322,0
12,0
21,0
293,0
47,0
1,1
23,1
16,0
10,0
188,0
18,0
638,0
5,0
1,1
214,0
293,0
51,0
4,0
